fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
p1-06,1,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,2,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,3,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,4,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,5,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,6,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,7,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,8,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,9,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,10,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,11,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,12,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,13,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,14,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,15,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,16,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,17,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,18,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,19,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,20,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,21,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,22,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,23,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,24,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,25,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,26,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,27,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,28,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,29,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,30,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,31,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,32,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,33,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,34,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,35,1.000000,1.000000,1.000000,1.000000,2,2
