fixture,group,weight,factor,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,top10_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count
will-03,process,skipTests,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,skipTests,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,skipTests,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,skipTests,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,skipTests,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,skipTests,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,skipTests,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,skipTests,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,0.100000,0.809524,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,0.250000,0.809524,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,0.500000,0.904762,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,0.750000,0.904762,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,manualIde,4.000000,0.904762,0.000000,1.000000,1.000000,1.000000,8,8,0,6
will-03,process,manualIde,10.000000,0.333333,1.000000,0.666667,0.800000,1.000000,8,8,0,8
will-03,process,length,0.100000,0.714286,0.000000,1.000000,0.800000,1.000000,8,8,0,0
will-03,process,length,0.250000,0.809524,0.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,length,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,length,0.750000,0.904762,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,length,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,length,1.500000,0.809524,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,length,2.000000,0.714286,1.000000,0.666667,1.000000,1.000000,8,8,0,0
will-03,process,length,4.000000,0.619048,0.000000,0.666667,1.000000,1.000000,8,8,0,0
will-03,process,length,10.000000,0.619048,0.000000,0.666667,1.000000,1.000000,8,8,0,1
will-03,process,commitGap,0.100000,0.523810,0.000000,0.666667,1.000000,1.000000,8,8,0,0
will-03,process,commitGap,0.250000,0.523810,0.000000,0.666667,1.000000,1.000000,8,8,0,0
will-03,process,commitGap,0.500000,0.809524,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,commitGap,0.750000,0.809524,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,commitGap,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,commitGap,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,process,commitGap,2.000000,0.809524,1.000000,1.000000,0.800000,1.000000,8,8,0,0
will-03,process,commitGap,4.000000,0.809524,1.000000,1.000000,0.800000,1.000000,8,8,0,2
will-03,process,commitGap,10.000000,0.523810,1.000000,1.000000,0.600000,1.000000,8,8,0,2
will-03,cleanliness,cognitive,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,cleanliness,cognitive,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,cleanliness,cognitive,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
will-03,cleanliness,cognitive,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,8,8,0,0
